lon,lat,PGA
22.92611,40.64528,8.382448E-01
22.92652,40.64506,8.420179E-01
22.92694,40.64484,8.435020E-01
22.92735,40.64463,8.430959E-01
22.92776,40.64441,8.418261E-01
22.92818,40.64420,8.406535E-01
22.92859,40.64398,8.400298E-01
22.92900,40.64377,8.397825E-01
22.92942,40.64355,8.394175E-01
22.92983,40.64333,8.383817E-01
22.93024,40.64312,8.365365E-01
22.93066,40.64290,8.342573E-01
22.93107,40.64269,8.322339E-01
22.93148,40.64247,8.314638E-01
22.93189,40.64225,8.328478E-01
22.93231,40.64204,8.369423E-01
22.93272,40.64182,8.436006E-01
22.93313,40.64161,8.518109E-01
22.93355,40.64139,8.597553E-01
22.93396,40.64118,8.656462E-01
22.93438,40.64096,8.682271E-01
22.93479,40.64075,8.675345E-01
22.93520,40.64053,8.650302E-01
22.93562,40.64032,8.627813E-01
22.93603,40.64010,8.626039E-01
22.93644,40.63989,8.654671E-01
22.93686,40.63967,8.713890E-01
22.93727,40.63945,8.794851E-01
22.93768,40.63924,8.884528E-01
22.93810,40.63902,8.968003E-01
22.93851,40.63881,9.029067E-01
22.93892,40.63859,9.054332E-01
22.93934,40.63838,9.042922E-01
22.93975,40.63816,8.997346E-01
22.94016,40.63794,8.932147E-01
22.94058,40.63773,8.866121E-01
22.94099,40.63751,8.814639E-01
22.94140,40.63730,8.787271E-01
22.94182,40.63708,8.788224E-01
22.94223,40.63686,8.816980E-01
22.94263,40.63664,8.868453E-01
22.94303,40.63641,8.928720E-01
22.94345,40.63619,8.979010E-01
22.94386,40.63598,9.005359E-01
22.94427,40.63576,8.999715E-01
22.94468,40.63554,8.965483E-01
22.94509,40.63532,8.917085E-01
22.94550,40.63510,8.872909E-01
22.94592,40.63489,8.847216E-01
22.94633,40.63467,8.844784E-01
22.94674,40.63446,8.861940E-01
22.94716,40.63424,8.888415E-01
22.94757,40.63403,8.910722E-01
22.94799,40.63382,8.920252E-01
22.94840,40.63360,8.912938E-01
22.94882,40.63339,8.891017E-01
22.94923,40.63318,8.860103E-01
22.94965,40.63296,8.828673E-01
22.95007,40.63275,8.803515E-01
22.95048,40.63254,8.790047E-01
22.95090,40.63232,8.792295E-01
22.95131,40.63211,8.811206E-01
22.95173,40.63190,8.848187E-01
22.95214,40.63168,8.902616E-01
22.95256,40.63147,8.972333E-01
22.95297,40.63126,9.049698E-01
22.95339,40.63104,9.120816E-01
22.95384,40.63087,9.183246E-01
22.95429,40.63071,9.216713E-01
22.95474,40.63054,9.212586E-01
22.95519,40.63038,9.173120E-01
22.95562,40.63018,9.112554E-01
22.95603,40.62996,9.049053E-01
22.95644,40.62974,8.992055E-01
22.95685,40.62953,8.950825E-01
22.95726,40.62931,8.925294E-01
22.95768,40.62909,8.909148E-01
22.95809,40.62887,8.895081E-01
22.95849,40.62864,8.883965E-01
22.95884,40.62838,8.888884E-01
22.95915,40.62808,8.918611E-01
22.95940,40.62775,8.968078E-01
22.95965,40.62742,9.013456E-01
22.95990,40.62708,9.044207E-01
22.96015,40.62675,9.054533E-01
22.96040,40.62642,9.045370E-01
22.96065,40.62609,9.018975E-01
22.96090,40.62576,8.981804E-01
22.96115,40.62543,8.943403E-01
22.96140,40.62510,8.912678E-01
22.96165,40.62477,8.897203E-01
22.96188,40.62443,8.902348E-01
22.96207,40.62408,8.932981E-01
22.96220,40.62371,8.984361E-01
22.96228,40.62333,9.042311E-01
22.96235,40.62296,9.088914E-01
22.96242,40.62258,9.121872E-01
22.96250,40.62220,9.141933E-01
22.96257,40.62182,9.154310E-01
22.96264,40.62144,9.166952E-01
22.96271,40.62107,9.187418E-01
22.96279,40.62069,9.221373E-01
22.96286,40.62031,9.270918E-01
22.96293,40.61993,9.334309E-01
22.96300,40.61956,9.404464E-01
22.96307,40.61918,9.469211E-01
22.96313,40.61880,9.514287E-01
22.96306,40.61842,9.524699E-01
22.96293,40.61806,9.501014E-01
22.96274,40.61770,9.452605E-01
22.96249,40.61738,9.394678E-01
22.96214,40.61710,9.340297E-01
22.96177,40.61684,9.300538E-01
22.96141,40.61658,9.282866E-01
22.96104,40.61632,9.288751E-01
22.96068,40.61606,9.315030E-01
22.96031,40.61580,9.352344E-01
22.95994,40.61554,9.387414E-01
22.95958,40.61528,9.405810E-01
22.95921,40.61502,9.396598E-01
22.95885,40.61476,9.358147E-01
22.95848,40.61450,9.297068E-01
22.95812,40.61424,9.225816E-01
22.95775,40.61397,9.154785E-01
22.95741,40.61370,9.086149E-01
22.95725,40.61334,8.984291E-01
22.95721,40.61296,8.880775E-01
22.95724,40.61258,8.799594E-01
22.95726,40.61220,8.751193E-01
22.95729,40.61182,8.736945E-01
22.95732,40.61143,8.751897E-01
22.95735,40.61105,8.787447E-01
22.95738,40.61067,8.832031E-01
22.95741,40.61029,8.875409E-01
22.95744,40.60991,8.910730E-01
22.95747,40.60953,8.935258E-01
22.95750,40.60915,8.949808E-01
22.95753,40.60877,8.958037E-01
22.95756,40.60839,8.965960E-01
22.95759,40.60801,8.981257E-01
22.95762,40.60762,9.011065E-01
22.95765,40.60724,9.058322E-01
22.95768,40.60686,9.118599E-01
22.95774,40.60648,9.191394E-01
22.95783,40.60611,9.263048E-01
22.95793,40.60574,9.318008E-01
22.95804,40.60536,9.344089E-01
22.95814,40.60499,9.349637E-01
22.95825,40.60462,9.357775E-01
22.95835,40.60424,9.395379E-01
22.95846,40.60387,9.480382E-01
22.95856,40.60350,9.605775E-01
22.95867,40.60312,9.739007E-01
22.95877,40.60275,9.833884E-01
22.95879,40.60237,9.833555E-01
22.95870,40.60199,9.734487E-01
22.95861,40.60162,9.590815E-01
22.95851,40.60124,9.452893E-01
22.95842,40.60087,9.359403E-01
22.95832,40.60050,9.320611E-01
22.95815,40.60015,9.303858E-01
22.95785,40.59984,9.269031E-01
22.95747,40.59959,9.222323E-01
22.95721,40.59927,9.193580E-01
22.95716,40.59890,9.150977E-01
22.95731,40.59854,9.092392E-01
22.95766,40.59827,9.065502E-01
22.95811,40.59811,9.093442E-01
22.95852,40.59790,9.110024E-01
22.95887,40.59763,9.113542E-01
22.95921,40.59734,9.118350E-01
22.95954,40.59706,9.121810E-01
22.95983,40.59675,9.116108E-01
22.96002,40.59640,9.099058E-01
22.96022,40.59605,9.050906E-01
22.96038,40.59569,8.973979E-01
22.96051,40.59532,8.882979E-01
22.96064,40.59495,8.795886E-01
22.96077,40.59458,8.730290E-01
22.96090,40.59422,8.693700E-01
22.96106,40.59385,8.679588E-01
22.96135,40.59355,8.677236E-01
22.96174,40.59331,8.686826E-01
22.96213,40.59307,8.704673E-01
22.96256,40.59287,8.724872E-01
22.96301,40.59270,8.737517E-01
22.96350,40.59265,8.743302E-01
22.96399,40.59270,8.734291E-01
22.96449,40.59276,8.698726E-01
22.96498,40.59281,8.645180E-01
22.96548,40.59287,8.587987E-01
22.96598,40.59292,8.537785E-01
22.96647,40.59297,8.501109E-01
22.96697,40.59303,8.479353E-01
22.96746,40.59308,8.469204E-01
22.96796,40.59313,8.467690E-01
22.96845,40.59319,8.472257E-01
22.96895,40.59324,8.480790E-01
22.96945,40.59329,8.492881E-01
22.96995,40.59331,8.506889E-01
